hospital_pk,collection_week,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,is_metro_micro,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18-19_7_day_sum,previous_day_admission_adult_covid_confirmed_20-29_7_day_sum,previous_day_admission_adult_covid_confirmed_30-39_7_day_sum,previous_day_admission_adult_covid_confirmed_40-49_7_day_sum,previous_day_admission_adult_covid_confirmed_50-59_7_day_sum,previous_day_admission_adult_covid_confirmed_60-69_7_day_sum,previous_day_admission_adult_covid_confirmed_70-79_7_day_sum,previous_day_admission_adult_covid_confirmed_80+_7_day_sum,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ED_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18-19_7_day_sum,previous_day_admission_adult_covid_suspected_20-29_7_day_sum,previous_day_admission_adult_covid_suspected_30-39_7_day_sum,previous_day_admission_adult_covid_suspected_40-49_7_day_sum,previous_day_admission_adult_covid_suspected_50-59_7_day_sum,previous_day_admission_adult_covid_suspected_60-69_7_day_sum,previous_day_admission_adult_covid_suspected_70-79_7_day_sum,previous_day_admission_adult_covid_suspected_80+_7_day_sum,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ED_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,geocoded_hospital_address,hhs_ids,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_coverage,previous_week_personnel_covid_vaccinated_doses_administered_7_day,total_personnel_covid_vaccinated_doses_none_7_day,total_personnel_covid_vaccinated_doses_one_7_day,total_personnel_covid_vaccinated_doses_all_7_day,previous_week_patients_covid_vaccinated_doses_one_7_day,previous_week_patients_covid_vaccinated_doses_all_7_day,is_corrected
400007,2021/09/24,PR,400007,RYDER MEMORIAL HOSPITAL INC,355 AVE FONT MARTELO,HUMACAO,00791,Short Term,72069,true,167,133.3,133.3,69.6,60.7,-999999,-999999,0,0,167,13.1,6.7,9,6.7,0,0,0,0,0,1169,933,933,487,425,14,14,0,0,1169,92,47,63,47,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,366,0,,[C400007-A],7,7,7,7,,,,,,,false
400048,2021/09/17,PR,400048,HOSPITAL MENONITA GUAYAMA,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,00785,Short Term,72059,true,161,115.6,115.6,73.1,59.9,-999999,-999999,0,0,141.9,9,9,5,5,0,0,-999999,0,-999999,1127,809,809,512,419,25,25,0,0,993,63,63,35,35,0,0,10,0,-999999,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,-999999,0,0,0,0,0,0,0,0,0,0,0,768,-999999,,[C400048-A],7,7,7,7,,,,,,,false
400130,2021/09/24,PR,400130,HOSPITAL METROPOLITANO DE LA MONTANA,CALLE ISAAC GONZALEZ ESQUINA LEDESMA,BDA NUEVA,00641,Short Term,72141,true,30.7,13.9,13.9,8,8,0,0,0,0,13.9,0,0,0,0,0,0,0,0,0,215,97,97,56,56,0,0,0,0,97,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,202,0,,[C400130-A],7,7,7,7,0,0,0,150,0,0,false
400111,2021/09/24,PR,400111,HOSPITAL SAN CARLOS BORROMEO,CALLE CONCEPCION VERA AYALA #550 S,MOCA,00676,Short Term,72099,true,108,106,106,39.7,39.7,-999999,-999999,0,0,106,8,8,6.3,6.3,-999999,-999999,0,0,0,756,742,742,278,278,17,14,0,0,742,56,56,44,44,7,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,-999999,0,-999999,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,370,0,,[C400111-A],7,7,7,7,0,0,0,0,0,0,false
400021,2021/09/17,PR,400021,HOSPITAL DE LA CONCEPCION,ROAD NUMBER 2 KM 173.4 CAIN ALTO,SAN GERMAN,00683,Short Term,72125,true,187,149.9,149.9,113.1,110,-999999,-999999,0,0,159.9,25.3,12,17.4,11.9,-999999,-999999,-999999,0,0,1309,1049,1049,792,770,18,18,0,0,1119,177,84,122,83,8,5,6,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,0,0,-999999,0,0,0,12,-999999,0,0,0,0,0,0,-999999,0,0,0,665,-999999,,[C400021-A],7,7,7,7,,,,,,,false
400109,2021/09/17,PR,400109,HIMA SAN PABLO BAYAMON,70 CALLE SANTA CRUZ,BAYAMON,00961,Short Term,72021,true,436,293,293,149.9,143.6,11.3,11,-999999,0,342.9,68.9,46,31.7,30.7,10.9,10.9,-999999,0,0,3052,2051,2051,1049,1005,79,77,7,0,2400,482,322,222,215,76,76,6,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,-999999,-999999,-999999,-999999,-999999,0,0,58,-999999,0,0,0,-999999,0,0,0,0,0,-999999,554,-999999,POINT (-66.149674 18.397664),[C400109-A],7,7,7,7,,,,,,,false
400104,2021/09/24,PR,400104,HOSPITAL MENONITA CAGUAS INC,CARR 172  EXIT 21 URB TURABO GARDENS,CAGUAS,00725,Short Term,72025,true,373,197.4,197.4,184.1,175.3,5.1,4.4,0,0,206.3,20.7,13.7,13.4,12,-999999,-999999,0,0,0,2611,1382,1382,1289,1227,36,31,0,0,1444,145,96,94,84,6,4,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,1083,0,,[C400104-A],7,7,7,7,,,,,,,false
400111,2021/09/17,PR,400111,HOSPITAL SAN CARLOS BORROMEO,CALLE CONCEPCION VERA AYALA #550 S,MOCA,00676,Short Term,72099,true,108,105,104.7,36.3,36.3,-999999,-999999,0,0,104.7,8,8,6.6,6.6,-999999,-999999,0,0,0,756,735,733,254,254,17,15,0,0,733,56,56,46,46,12,10,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0,0,0,0,0,0,4,-999999,0,0,136,0,0,0,0,0,0,0,0,0,0,0,392,0,,[C400111-A],7,7,7,7,0,0,0,0,0,0,false
400018,2021/09/24,PR,400018,MENNONITE GENERAL HOSPITAL INC,CALLE JOSE C VASQUEZ BO. CAONILLAS,AIBONITO,00705,Short Term,72009,true,150,108,108,65.7,59.9,-999999,-999999,0,0,137,6,6,5.6,5.6,-999999,-999999,0,0,0,1050,756,756,460,419,-999999,-999999,0,0,959,42,42,39,39,-999999,-999999,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,838,0,,[C400018-A],7,7,7,7,,,,,,,false
400103,2021/09/17,PR,400103,MAYAGUEZ MEDICAL CENTER DR RAMON EMETERIO BETANCES,CARR 2 BO SABALOS,MAYAGUEZ,00682,Short Term,72097,true,391,175,175,148.9,141.1,10.4,9.1,0,0,195.7,39,31.3,24.9,19.4,-999999,-999999,0,0,0,2737,1225,1225,1042,988,73,64,0,0,1370,273,219,174,136,19,19,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,442,0,,[C400103-A],7,7,7,7,,,,,,,false
400132,2021/09/17,PR,400132,DOCTOR CENTER HOSPITAL SAN FERNANDO DE LA CAROLINA,EDIF JESUS T PINEIRO AVE FERNANDEZ JUNCOS BO PUEBL,CAROLINA,00979,Short Term,72127,true,109,81.9,81.9,95,80.9,6.4,6.1,0,0,109,6,6,6,6,-999999,-999999,0,0,0,763,573,573,665,566,45,43,0,0,763,42,42,42,42,11,11,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,521,0,,[C400132-A],7,7,7,7,,,,,,,false
400022,2021/09/24,PR,400022,HOSPITAL DAMAS INC,PONCE BY PASS #2213,PONCE,00717,Short Term,72113,true,331,140.4,140.4,86.6,86,-999999,-999999,0,0,146.4,32,25,17.1,14.9,-999999,-999999,0,0,0,2317,983,983,606,602,8,7,0,0,1025,224,175,120,104,7,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,-999999,-999999,0,0,0,0,0,0,-999999,0,0,0,417,0,,[C400022-A],7,7,7,7,,,,,,,false
400127,2021/09/17,PR,400127,ADMIN DE SERVICIOS MEDICOS  PUERTO RIC,BO MONACILLO CARR NUM 22,SAN JUAN,00935,Short Term,72127,true,92,89.3,89.3,57.1,57.1,-999999,-999999,0,0,89.3,20,20,18.3,18.3,-999999,-999999,0,0,0,644,625,625,400,400,7,-999999,0,0,625,140,140,128,128,6,6,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,588,0,,[C400127-A],7,7,7,7,,,,,,,false
400120,2021/09/17,PR,400120,HIMA SAN PABLO-CAGUAS,100 AVE LUIS MUNOZ MARIN,CAGUAS,00725,Short Term,72025,true,440,314.7,314.7,237,207.6,6,5.9,-999999,0,413.7,56,31.7,35.6,25,-999999,-999999,0,0,0,3080,2203,2203,1659,1453,42,41,-999999,0,2896,392,222,249,175,21,21,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,552,0,,[C400120-A],7,7,7,7,,,,,,,false
400125,2021/09/24,PR,400125,HIMA-SAN PABLO FAJARDO,GENERAL VALERO AVE#404,FAJARDO,00738,Short Term,72053,true,221,130,130,29.1,28,-999999,-999999,0,0,146,6.9,5,5.1,4.6,-999999,0,0,0,0,1547,910,910,204,196,12,11,0,0,1022,48,35,36,32,-999999,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,268,0,,[C400125-A],7,7,7,7,,,,,,,false
400133,2021/09/24,PR,400133,HIMA SAN PABLO CUPEY,CARR 844 KM 5 CUPEY BAJO,SAN JUAN,00928,Short Term,72127,true,60,60,60,25.6,25.6,0,0,0,0,60,4,4,-999999,-999999,0,0,-999999,0,0,420,420,420,179,179,0,0,0,0,420,28,28,4,4,0,0,-999999,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,148,-999999,,[C400133-A],7,7,7,7,,,,,,,false
400130,2021/09/17,PR,400130,HOSPITAL METROPOLITANO DE LA MONTANA,CALLE ISAAC GONZALEZ ESQUINA LEDESMA,BDA NUEVA,00641,Short Term,72141,true,42.6,20,20,13.4,13.4,-999999,0,0,0,20,0,0,0,0,0,0,0,0,0,298,140,140,94,94,-999999,0,0,0,140,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,-999999,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,236,0,,[C400130-A],7,7,7,7,,,,,,,false
400102,2021/09/17,PR,400102,DOCTORS CENTER HOSPITAL BAYAMON,9 J STREET EXT HERMANAS DAVILA,BAYAMON,00959,Short Term,72021,true,146,141.1,141.1,121.9,121.9,17.3,14.3,0,0,141.1,6.4,6.4,4.9,4.9,-999999,-999999,-999999,0,0,1022,988,988,853,853,121,100,0,0,988,45,45,34,34,7,7,15,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,0,-999999,0,-999999,-999999,-999999,0,0,0,0,16,6,0,0,0,-999999,-999999,-999999,-999999,-999999,0,0,388,-999999,,[C400102-A],7,7,7,7,,,,,,,false
400006,2021/09/24,PR,400006,DOCTORS' CENTER HOSPITAL SAN JUAN,PDA. 20 C/ SAN RAFAEL # 1395,FERNANDEZ JUNCOS,00909,Short Term,72127,true,154,99.6,99.6,80.7,74.6,8.9,8.9,0,0,111.3,6.3,6.3,5.4,5.4,-999999,-999999,0,0,0,1078,697,697,565,522,62,62,0,0,779,44,44,38,38,13,8,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,-999999,0,0,0,0,0,0,0,-999999,0,0,17,4,0,0,-999999,-999999,0,-999999,0,0,0,0,393,0,,[C400006-A],7,7,7,7,,,,,,,false
400124,2021/09/17,PR,400124,CENTRO CARDIOVASCULAR,"AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM",RIO PIEDRAS,00936,Short Term,72127,true,202,103.1,103.1,69.1,66.3,-999999,0,0,0,113.1,29.6,19.6,22.4,19.6,0,0,0,0,0,1414,722,722,484,464,-999999,0,0,0,792,207,137,157,137,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,-999999,0,0,0,0,0,-999999,0,0,0,0,0,0,0,0,0,0,0,144,0,,[C400124-A],7,7,7,7,,,,,,,false
