bulletin_date,age_range,female,female_pct,male,male_pct,cases,cases_pct
2020-11-24,30-39,104,14.1,97,15.5,201,14.7
2020-11-24,40-49,123,16.6,102,16.3,225,16.5
2020-11-24,50-59,122,16.5,97,15.5,219,16.0
2020-11-24,60-69,74,10.0,58,9.3,132,9.7
2020-11-24,70-79,49,6.6,26,4.1,75,5.5
2020-11-24,≥ 80,75,10.1,30,4.8,105,7.7
2020-11-24,No disponible,7,,7,,14,
2020-11-24,Total,746,100.0,634,100.0,1380,100.0
2020-11-25,< 10,26,3.5,47,7.5,73,5.4
2020-11-25,10-19,57,7.8,59,9.5,116,8.5
2020-11-25,20-29,109,14.9,109,17.5,218,16.1
2020-11-25,30-39,102,13.9,97,15.5,199,14.7
2020-11-25,40-49,123,16.8,99,15.9,222,16.3
2020-11-25,50-59,120,16.3,97,15.5,217,16.0
2020-11-25,60-69,73,9.9,59,9.5,132,9.7
2020-11-25,70-79,50,6.8,26,4.2,76,5.6
2020-11-25,≥ 80,74,10.1,31,5.0,105,7.7
2020-11-25,No disponible,7,,7,,14,
2020-11-25,Total,741,100.0,631,100.0,1372,100.0
2020-11-26,< 10,28,3.6,50,7.5,78,5.4
2020-11-26,10-19,55,7.1,62,9.3,117,8.1
2020-11-26,20-29,114,14.8,115,17.2,229,15.9
2020-11-26,30-39,116,15.0,106,15.9,222,15.4
2020-11-26,40-49,117,15.2,103,15.4,220,15.3
2020-11-26,50-59,123,16.0,98,14.7,221,15.4
2020-11-26,60-69,78,10.1,61,9.1,139,9.7
2020-11-26,70-79,53,6.9,37,5.5,90,6.3
2020-11-26,≥ 80,87,11.3,36,5.4,123,8.5
2020-11-26,No disponible,6,,7,,13,
2020-11-26,Total,777,100.0,675,100.0,1452,100.0
2020-11-27,< 10,30,3.8,50,7.3,80,5.4
2020-11-27,10-19,58,7.3,62,9.0,120,8.1
2020-11-27,20-29,119,14.9,116,16.9,235,15.8
2020-11-27,30-39,119,14.9,111,16.2,230,15.5
2020-11-27,40-49,120,15.0,108,15.7,228,15.3
2020-11-27,50-59,126,15.8,96,14.0,222,14.9
2020-11-27,60-69,78,9.8,64,9.3,142,9.6
2020-11-27,70-79,54,6.8,40,5.8,94,6.3
2020-11-27,≥ 80,95,11.9,40,5.8,135,9.1
2020-11-27,No disponible,6,,8,,14,
2020-11-27,Total,805,100.0,695,100.0,1500,100.0
2020-11-28,< 10,30,3.7,50,7.3,80,5.4
2020-11-28,10-19,59,7.4,62,9.0,121,8.1
2020-11-28,20-29,119,14.8,116,16.8,235,15.8
2020-11-28,30-39,121,15.1,113,16.4,234,15.7
2020-11-28,40-49,120,15.0,108,15.7,228,15.3
2020-11-28,50-59,126,15.7,96,13.9,222,14.9
2020-11-28,60-69,78,9.7,64,9.3,142,9.5
2020-11-28,70-79,54,6.7,41,6.0,95,6.4
2020-11-28,≥ 80,95,11.8,39,5.7,134,9.0
2020-11-28,No disponible,6,,8,,14,
2020-11-28,Total,808,100.0,697,100.0,1505,100.0
2020-11-29,< 10,31,3.7,49,7.0,80,5.2
2020-11-29,10-19,59,7.0,62,8.8,121,7.8
2020-11-29,20-29,117,13.9,114,16.2,231,15.0
2020-11-29,30-39,121,14.4,113,16.1,234,15.2
2020-11-29,40-49,119,14.2,112,16.0,231,15.0
2020-11-29,50-59,129,15.4,96,13.7,225,14.6
2020-11-29,60-69,77,9.2,65,9.3,142,9.2
2020-11-29,70-79,63,7.5,45,6.4,108,7.0
2020-11-29,≥ 80,124,14.8,46,6.6,170,11.0
2020-11-29,No disponible,7,,8,,15,
2020-11-29,Total,847,100.0,710,100.0,1557,100.0
2020-11-30,< 10,30,3.4,58,7.6,88,5.3
2020-11-30,10-19,61,6.8,65,8.6,126,7.6
2020-11-30,20-29,130,14.5,122,16.1,252,15.2
2020-11-30,30-39,131,14.6,117,15.4,248,15.0
2020-11-30,40-49,135,15.1,128,16.8,263,15.9
2020-11-30,50-59,134,15.0,103,13.6,237,14.3
2020-11-30,60-69,83,9.3,71,9.3,154,9.3
2020-11-30,70-79,64,7.2,49,6.4,113,6.8
2020-11-30,≥ 80,127,14.2,47,6.2,174,10.5
2020-11-30,No disponible,8,,10,,18,
2020-11-30,Total,903,100.0,770,100.0,1673,100.0
2020-12-01,< 10,33,3.6,59,7.7,92,5.5
2020-12-01,10-19,62,6.8,65,8.5,127,7.6
2020-12-01,20-29,131,14.3,121,15.8,252,15.0
2020-12-01,30-39,135,14.8,119,15.6,254,15.1
2020-12-01,40-49,139,15.2,129,16.9,268,16.0
2020-12-01,50-59,137,15.0,104,13.6,241,14.4
2020-12-01,60-69,85,9.3,72,9.4,157,9.4
2020-12-01,70-79,64,7.0,49,6.4,113,6.7
2020-12-01,≥ 80,127,13.9,47,6.1,174,10.4
2020-12-01,No disponible,9,,12,,21,
2020-12-01,Total,922,100.0,777,100.0,1699,100.0
2020-12-02,< 10,36,3.8,60,7.6,96,5.5
2020-12-02,10-19,65,6.9,70,8.8,135,7.8
2020-12-02,20-29,134,14.3,126,15.9,260,15.0
2020-12-02,30-39,140,14.9,126,15.9,266,15.3
2020-12-02,40-49,146,15.5,135,17.0,281,16.2
2020-12-02,50-59,139,14.8,107,13.5,246,14.2
2020-12-02,60-69,87,9.3,73,9.2,160,9.2
2020-12-02,70-79,65,6.9,50,6.3,115,6.6
2020-12-02,≥ 80,128,13.6,47,5.9,175,10.1
2020-12-02,No disponible,11,,11,,22,
2020-12-02,Total,951,100.0,805,100.0,1756,100.0
2020-12-03,< 10,38,3.9,62,7.5,100,5.6
2020-12-03,10-19,66,6.8,74,9.0,140,7.8
2020-12-03,20-29,137,14.2,129,15.7,266,14.9
2020-12-03,30-39,144,14.9,130,15.8,274,15.3
2020-12-03,40-49,148,15.3,135,16.4,283,15.8
2020-12-03,50-59,144,14.9,107,13.0,251,14
2020-12-03,60-69,93,9.6,80,9.7,173,9.7
2020-12-03,70-79,67,6.9,54,6.6,121,6.8
2020-12-03,≥ 80,130,13.4,53,6.4,183,10.2
2020-12-03,No disponible,11,,11,,22,
2020-12-03,Total,978,100.0,835,100.0,1813,100.0
2020-12-04,< 10,40,3.9,61,7.2,101,5.4
2020-12-04,10-19,67,6.5,74,8.7,141,7.5
2020-12-04,20-29,150,14.6,132,15.5,282,15.0
2020-12-04,30-39,152,14.8,134,15.7,286,15.2
2020-12-04,40-49,157,15.3,137,16.1,294,15.7
2020-12-04,50-59,145,14.1,106,12.4,251,13.4
2020-12-04,60-69,97,9.5,87,10.2,184,9.8
2020-12-04,70-79,71,6.9,61,7.2,132,7.0
2020-12-04,≥ 80,146,14.2,60,7.0,206,11.0
2020-12-04,No disponible,11,,11,,22,
2020-12-04,Total,1036,100.0,863,100.0,1899,100.0
2020-12-05,< 10,40,3.8,64,7.4,104,5.5
2020-12-05,10-19,71,6.8,73,8.5,144,7.6
2020-12-05,20-29,153,14.7,135,15.7,288,15.1
2020-12-05,30-39,152,14.6,127,14.7,279,14.7
2020-12-05,40-49,154,14.8,138,16.0,292,15.3
2020-12-05,50-59,147,14.1,113,13.1,260,13.7
2020-12-05,60-69,103,9.9,91,10.6,194,10.2
2020-12-05,70-79,74,7.1,63,7.3,137,7.2
2020-12-05,≥ 80,147,14.1,58,6.7,205,10.8
2020-12-05,No disponible,11,,11,,22,
2020-12-05,Total,1052,100.0,873,100.0,1925,100.0
2020-12-06,< 10,39,3.7,66,7.6,105,5.5
2020-12-06,10-19,71,6.7,76,8.8,147,7.7
2020-12-06,20-29,156,14.8,135,15.6,291,15.2
2020-12-06,30-39,148,14.1,124,14.3,272,14.2
2020-12-06,40-49,156,14.8,138,16.0,294,15.3
2020-12-06,50-59,153,14.5,113,13.1,266,13.9
2020-12-06,60-69,106,10.1,91,10.5,197,10.3
2020-12-06,70-79,75,7.1,63,7.3,138,7.2
2020-12-06,≥ 80,149,14.2,59,6.8,208,10.8
2020-12-06,No disponible,13,,11,,24,
2020-12-06,Total,1066,100.0,876,100.0,1942,100.0
2020-12-07,< 10,41,3.6,66,7.3,107,5.2
2020-12-07,10-19,78,6.8,83,9.2,161,7.9
2020-12-07,20-29,176,15.4,141,15.6,317,15.5
2020-12-07,30-39,163,14.2,125,13.8,288,14.1
2020-12-07,40-49,169,14.7,146,16.2,315,15.4
2020-12-07,50-59,168,14.7,125,13.8,293,14.3
2020-12-07,60-69,115,10.0,94,10.4,209,10.2
2020-12-07,70-79,79,6.9,63,7.0,142,6.9
2020-12-07,≥ 80,157,13.7,60,6.6,217,10.6
2020-12-07,No disponible,13,,12,,25,
2020-12-07,Total,1159,100.0,915,100.0,2074,100.0
2020-12-08,< 10,52,4.1,73,7.4,125,5.5
2020-12-08,10-19,92,7.2,91,9.2,183,8.1
2020-12-08,20-29,201,15.8,151,15.3,352,15.6
2020-12-08,30-39,189,14.8,144,14.6,333,14.7
2020-12-08,40-49,186,14.6,157,15.9,343,15.2
2020-12-08,50-59,188,14.7,141,14.3,329,14.5
2020-12-08,60-69,121,9.5,104,10.5,225,9.9
2020-12-08,70-79,84,6.6,66,6.7,150,6.6
2020-12-08,≥ 80,162,12.7,61,6.2,223,9.9
2020-12-08,No disponible,13,,12,,25,
2020-12-08,Total,1288,100.0,1000,100.0,2288,100.0
2020-12-09,< 10,53,4.0,73,7.2,126,5.4
2020-12-09,10-19,93,7.0,91,9.0,184,7.9
2020-12-09,20-29,204,15.4,151,14.9,355,15.2
2020-12-09,30-39,197,14.9,151,14.9,348,14.9
2020-12-09,40-49,192,14.5,159,15.7,351,15.0
2020-12-09,50-59,194,14.7,139,13.7,333,14.2
2020-12-09,60-69,126,9.5,106,10.5,232,9.9
2020-12-09,70-79,87,6.6,71,7.0,158,6.8
2020-12-09,≥ 80,178,13.4,72,7.1,250,10.7
2020-12-09,No disponible,13,,12,,25,
2020-12-09,Total,1337,100.0,1025,100.0,2362,100.0
2020-12-10,< 10,54,4.1,72,7.0,126,5.4
2020-12-10,10-19,89,6.7,88,8.6,177,7.5
2020-12-10,20-29,202,15.3,155,15.1,357,15.2
2020-12-10,30-39,190,14.4,154,15.0,344,14.6
2020-12-10,40-49,190,14.4,159,15.5,349,14.9
2020-12-10,50-59,195,14.8,138,13.4,333,14.2
2020-12-10,60-69,129,9.8,108,10.5,237,10.1
2020-12-10,70-79,87,6.6,76,7.4,163,6.9
2020-12-10,≥ 80,186,14.1,77,7.5,263,11.2
2020-12-10,No disponible,13,,11,,24,
2020-12-10,Total,1335,100.0,1038,100.0,2373,100.0
2020-12-11,< 10,55,4.0,72,6.9,127,5.3
2020-12-11,10-19,94,6.9,88,8.4,182,7.6
2020-12-11,20-29,203,14.9,154,14.7,357,14.8
2020-12-11,30-39,196,14.4,157,15.0,353,14.7
2020-12-11,40-49,196,14.4,167,16.0,363,15.1
2020-12-11,50-59,198,14.6,138,13.2,336,14.0
2020-12-11,60-69,134,9.9,113,10.8,247,10.3
2020-12-11,70-79,89,6.5,80,7.6,169,7.0
2020-12-11,≥ 80,195,14.3,77,7.4,272,11.3
2020-12-11,No disponible,13,,12,,25,
2020-12-11,Total,1373,100.0,1058,100.0,2431,100.0
2020-12-12,< 10,64,4.4,78,7.0,142,5.5
2020-12-12,10-19,103,7.1,103,9.2,206,8.0
2020-12-12,20-29,221,15.3,168,15.0,389,15.2
2020-12-12,30-39,201,13.9,162,14.5,363,14.1
2020-12-12,40-49,218,15.1,174,15.5,392,15.3
2020-12-12,50-59,214,14.8,153,13.7,367,14.3
2020-12-12,60-69,138,9.5,121,10.8,259,10.1
2020-12-12,70-79,94,6.5,81,7.2,175,6.8
2020-12-12,≥ 80,193,13.3,80,7.1,273,10.6
2020-12-12,No disponible,12,,11,,23,
2020-12-12,Total,1458,100.0,1131,100.0,2589,100.0
2020-12-13,< 10,64,4.3,77,6.8,141,5.4
2020-12-13,10-19,107,7.2,102,9.0,209,8.0
2020-12-13,20-29,225,15.2,172,15.1,397,15.2
2020-12-13,30-39,204,13.8,161,14.2,365,14.0
2020-12-13,40-49,223,15.1,179,15.7,402,15.4
2020-12-13,50-59,222,15.0,155,13.6,377,14.4
2020-12-13,60-69,139,9.4,123,10.8,262,10.0
2020-12-13,70-79,95,6.4,83,7.3,178,6.8
2020-12-13,≥ 80,198,13.4,85,7.5,283,10.8
2020-12-13,No disponible,12,,11,,23,
2020-12-13,Total,1489,100.0,1148,100.0,2637,100.0
2020-12-14,< 10,68,4.4,81,6.8,149,5.5
2020-12-14,10-19,113,7.3,106,8.9,219,8.0
2020-12-14,20-29,232,15.1,179,15.1,411,15.1
2020-12-14,30-39,210,13.6,173,14.6,383,14.0
2020-12-14,40-49,235,15.3,183,15.4,418,15.3
2020-12-14,50-59,233,15.1,166,14.0,399,14.6
2020-12-14,60-69,143,9.3,127,10.7,270,9.9
2020-12-14,70-79,100,6.5,86,7.2,186,6.8
2020-12-14,≥ 80,205,13.3,88,7.4,293,10.7
2020-12-14,No disponible,12,,11,,23,
2020-12-14,Total,1551,100.0,1200,100.0,2751,100.0
2020-12-15,< 10,77,4.8,88,7.0,165,5.7
2020-12-15,10-19,123,7.6,113,9.0,236,8.2
2020-12-15,20-29,248,15.3,188,15.0,436,15.2
2020-12-15,30-39,220,13.6,182,14.6,402,14.0
2020-12-15,40-49,250,15.4,192,15.4,442,15.4
2020-12-15,50-59,243,15.0,176,14.1,419,14.6
2020-12-15,60-69,149,9.2,135,10.8,284,9.9
2020-12-15,70-79,105,6.5,88,7.0,193,6.7
2020-12-15,≥ 80,206,12.7,88,7.0,294,10.2
2020-12-15,No disponible,12,,11,,23,
2020-12-15,Total,1633,100.0,1261,100.0,2894,100.0
2020-12-16,< 10,80,4.8,95,7.4,175,5.9
2020-12-16,10-19,129,7.7,117,9.1,246,8.4
2020-12-16,20-29,250,15.0,188,14.7,438,14.9
2020-12-16,30-39,226,13.6,184,14.4,410,13.9
2020-12-16,40-49,259,15.6,194,15.1,453,15.4
2020-12-16,50-59,249,15.0,181,14.1,430,14.6
2020-12-16,60-69,144,8.6,137,10.7,281,9.5
2020-12-16,70-79,110,6.6,92,7.2,202,6.9
2020-12-16,≥ 80,218,13.1,93,7.3,311,10.6
2020-12-16,No disponible,11,,11,,22,
2020-12-16,Total,1676,100.0,1292,100.0,2968,100.0
2020-12-17,< 10,82,4.8,98,7.4,180,5.9
2020-12-17,10-19,135,7.9,119,9.0,254,8.4
2020-12-17,20-29,256,14.9,191,14.4,447,14.7
2020-12-17,30-39,233,13.6,187,14.1,420,13.8
2020-12-17,40-49,265,15.5,195,14.8,460,15.1
2020-12-17,50-59,248,14.5,185,14.0,433,14.3
2020-12-17,60-69,146,8.5,143,10.8,289,9.5
2020-12-17,70-79,114,6.6,98,7.4,212,7.0
2020-12-17,≥ 80,236,13.8,106,8.0,342,11.3
2020-12-17,No disponible,10,,10,,20,
2020-12-17,Total,1725,100.0,1332,100.0,3057,100.0
2020-12-18,< 10,82,4.9,96,7.3,178,5.9
2020-12-18,10-19,128,7.6,119,9.0,247,8.2
2020-12-18,20-29,252,14.9,195,14.8,447,14.9
2020-12-18,30-39,225,13.3,189,14.3,414,13.8
2020-12-18,40-49,261,15.5,192,14.5,453,15.1
2020-12-18,50-59,243,14.4,178,13.5,421,14.0
2020-12-18,60-69,147,8.7,148,11.2,295,9.8
2020-12-18,70-79,116,6.9,97,7.3,213,7.1
2020-12-18,≥ 80,234,13.9,107,8.1,341,11.3
2020-12-18,No disponible,10,,10,,20,
2020-12-18,Total,1698,100.0,1331,100.0,3029,100.0
2020-12-19,< 10,105,5.1,106,6.4,211,5.7
2020-12-19,10-19,162,7.9,162,9.8,324,8.7
2020-12-19,20-29,321,15.6,256,15.5,577,15.5
2020-12-19,30-39,295,14.3,246,14.9,541,14.6
2020-12-19,40-49,333,16.1,254,15.4,587,15.8
2020-12-19,50-59,291,14.1,235,14.2,526,14.2
2020-12-19,60-69,181,8.8,179,10.8,360,9.7
2020-12-19,70-79,124,6.0,104,6.3,228,6.1
2020-12-19,≥ 80,250,12.1,112,6.8,362,9.7
2020-12-19,No disponible,10,,10,,20,
2020-12-19,Total,2072,100.0,1664,100.0,3736,100.0
2020-12-20,< 10,109,5.2,108,6.5,217,5.8
2020-12-20,10-19,167,7.9,164,9.9,331,8.8
2020-12-20,20-29,323,15.4,256,15.4,579,15.4
2020-12-20,30-39,302,14.4,245,14.7,547,14.5
2020-12-20,40-49,340,16.2,256,15.4,596,15.8
